,Feature,Weight
0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,0.043413366720819344
1,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium,0.0544794826926748
2,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium,0.14420239881213465
3,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,0.2159647897260057
4,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia,0.2730329869934497
5,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,-0.13617870648695582
6,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__,-0.22030269229867516
7,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas,-0.1365303291287275
8,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter,-0.19124835851047134
9,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__,-0.1694493942479008
10,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,-0.17198457285212615
11,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,-0.4895845263993338
12,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,-0.0382391211747438
13,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,-0.14632215510721255
14,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus,-0.38780871383469157
15,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus],0.16368172042391016
16,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__,0.04660793172962911
17,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium,-0.32894084623608855
18,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger,-0.20113327914853438
19,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,-0.29037465642948707
20,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister,-0.31627583469759335
21,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium,-0.03945308930182529
22,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella,-0.01291552090661433
23,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__Mogibacterium,0.20242844476600505
24,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium,0.2745058241900031
25,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium,0.0751194684251669
26,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],0.24424482974466877
27,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;g__Malus,0.16227712382011136
28,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella,-0.16235700838976344
29,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,-0.06091462250307704
30,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;Other,-0.07316488102973556
31,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus,0.5241165133773982
32,all_aLambda,-0.18811449741331465
33,all_aSigma,0.17589588773687584
34,alpha1_aCp,0.008515293096648457
35,alpha1_aGamma,0.08309476465934205
36,alpha1_aLambda,-0.00216200038708902
37,alpha1_aLp,-0.037241752387563797
38,alpha1_aSigma,0.08138910608269923
39,alpha1_aEg,0.04045568939304958
40,alpha1_aEloc,0.004743517412757686
41,alpha2_aCp,-0.011727443458086885
42,alpha2_aGamma,0.06885552519038671
43,alpha2_aLambda,-0.07128527660115173
44,alpha2_aLp,0.10294907313603556
45,alpha2_aSigma,0.07353119556495022
46,alpha2_aEg,0.010785319406859622
47,alpha2_aEloc,-0.04642952232428846
48,beta2_aCp,-0.1234125208101344
49,beta2_aLambda,-0.1871775862252872
50,beta2_aEg,-0.0683537821131445
51,beta2_aEloc,-0.16959911855541077
52,gamma_aCp,-0.005074864107880043
53,gamma_aEg,-0.05966660735385895
54,gamma_aEloc,-0.04787026466756217
55,all_aDc_12,-0.09992193744275579
56,all__aNCp_2,-0.1974670022650873
57,all__aNCp_13,-0.11868779079809824
58,all_aNe_2,-0.12980078414996124
59,all_aNLe_9,-0.09722501593290657
60,all_aNLe_13,-0.2137823519056134
61,delta_aDc_1,0.07792588735702534
62,delta_aDc_3,0.19986452352777268
63,delta_aDc_5,-0.034274408493583465
64,delta_aDc_7,-0.01728900446531941
65,delta_aDc_8,0.047613608158465597
66,delta__aNCp_1,-0.06438307986479941
67,delta__aNCp_5,0.017897441437747824
68,delta__aNCp_9,-0.012481844582098639
69,delta__aNCp_10,-0.047325342124874784
70,delta_aNe_1,-0.016824870107037298
71,delta_aNe_3,0.10053511945166971
72,delta_aNe_5,-0.04253113459601317
73,delta_aNe_7,-0.046858489975053645
74,delta_aNe_8,-0.021409765271724793
75,delta_aNLe_1,-0.01035171381490288
76,delta_aNLe_5,0.08965419103168716
77,theta_aDc_3,0.09399283015862893
78,theta_aDc_7,0.13716272543305247
79,theta__aNCp_6,0.16181061711939038
80,theta_aNe_3,0.05070373435947189
81,theta_aNe_7,0.15431822440108095
82,theta_aNe_14,0.3741078462441142
83,theta_aNLe_5,-0.4178767763025009
84,theta_aNLe_6,0.1643898630663602
85,theta_aNLe_7,0.10309913397095243
86,alpha1_aDc_1,0.052397423622618886
87,alpha1_aDc_2,0.02528137467266722
88,alpha1_aDc_3,-0.10161160966119927
89,alpha1_aDc_4,-0.09025671493560267
