,Feature,Weight
0,all_aCp,-0.004579423520529896
1,all_aGamma,0.01821305270760175
2,all_aLambda,-0.10547619229802829
3,all_aLp,-0.056335320835629074
4,all_aSigma,0.041350232395104713
5,all_aEg,0.02032681613982365
6,all_aEloc,-0.00217217992951578
7,delta_aCp,-0.012433644186903044
8,delta_aLambda,-0.014819676730076335
9,delta_aLp,-0.02327134743138542
10,delta_aEg,-0.005216635975831894
11,delta_aEloc,-0.0203301885695559
12,theta_aCp,0.007479935941993015
13,theta_aGamma,0.05812916319311794
14,theta_aLambda,0.02765902913996957
15,theta_aLp,-0.007759867917993107
16,theta_aSigma,0.05776722361456624
17,theta_aEg,0.013149231943483233
18,theta_aEloc,0.017205465627880154
19,alpha1_aCp,-0.008561257356225404
20,alpha1_aGamma,0.009048365643715252
21,alpha1_aLambda,-0.0069493922859726115
22,alpha1_aLp,0.00024783760306635715
23,alpha1_aSigma,0.009155384979315773
24,alpha1_aEg,0.0034797599614054945
25,alpha1_aEloc,-0.01207426514801762
26,alpha2_aCp,-0.004763265705261411
27,alpha2_aGamma,0.014713286469829036
28,alpha2_aLambda,0.03196691957333701
29,alpha2_aLp,0.054748696521267806
30,alpha2_aSigma,0.008150874927769768
31,alpha2_aEg,-0.01907640591010187
32,alpha2_aEloc,-0.012039869444461535
33,beta1_aCp,0.010944993381982814
34,beta1_aGamma,0.03796900757656164
35,beta1_aLambda,-0.056994938555248315
36,beta1_aLp,0.07798713321301143
37,beta1_aSigma,0.05326083954945439
38,beta1_aEg,-0.009673440142048895
39,beta1_aEloc,-0.015297595588273337
40,beta2_aCp,-0.019310945030017162
41,beta2_aLambda,-0.12437124064413349
42,beta2_aLp,0.0011271024878719595
43,beta2_aEg,0.011610739168561712
44,beta2_aEloc,-0.022085124831079557
45,gamma_aCp,0.009457577918043303
46,gamma_aEg,0.00765484733397386
47,gamma_aEloc,0.005141254013632101
48,all_aDc_1,-0.039525917379548914
49,all_aDc_2,-0.03685356007140861
50,all_aDc_3,0.046588129771558066
51,all_aDc_4,-0.06787694894034295
52,all_aDc_5,0.0235768384064258
53,all_aDc_6,-0.004279445602857632
54,all_aDc_7,0.03502452623008592
55,all_aDc_8,-0.03432197352556225
56,all_aDc_9,-0.02062941349938889
57,all_aDc_10,0.01332142897940766
58,all_aDc_11,0.04556225108200629
59,all_aDc_12,-0.009695448812462253
60,all_aDc_13,0.029880728537690072
61,all_aDc_14,0.020928256812616904
62,all_aDc_15,-0.019000862590790247
63,all_aDc_16,-0.02881051840685757
64,all__aNCp_1,-0.03496267768354557
65,all__aNCp_2,-0.0726214751058468
66,all__aNCp_3,0.0332775384351355
67,all__aNCp_4,0.0200760292707357
68,all__aNCp_5,-0.021687977993613782
69,all__aNCp_6,0.046832577219289344
70,all__aNCp_7,0.06906720251512703
71,all__aNCp_8,-0.0011110283867422459
72,all__aNCp_9,-0.030799181634415407
73,all__aNCp_10,0.0016682791229139298
74,all__aNCp_11,-0.020690702195338473
75,all__aNCp_12,0.017646770811616898
76,all__aNCp_13,-0.03812565299088522
77,all__aNCp_14,0.015183310911334968
78,all__aNCp_15,-0.03654992571240544
79,all__aNCp_16,0.024217649316620883
80,all_aNe_1,-0.03521444714609291
81,all_aNe_2,-0.04048450712199048
82,all_aNe_3,0.06233985467152759
83,all_aNe_4,-0.03361807333072139
84,all_aNe_5,0.05995709663796596
85,all_aNe_6,0.02111332228877958
86,all_aNe_7,0.06850968786975473
87,all_aNe_8,0.0023380478726848404
88,all_aNe_9,0.008197847808011508
89,all_aNe_10,0.023629159745400884
90,all_aNe_11,0.04948117802759426
91,all_aNe_12,0.015056801035129075
92,all_aNe_13,0.0484878284786019
93,all_aNe_14,0.015416735411407822
94,all_aNe_15,-0.003645667182344405
95,all_aNe_16,0.012475611067007428
96,all_aNLe_1,-0.04285531904518576
97,all_aNLe_2,-0.06849932231063266
98,all_aNLe_3,0.05116468158500113
99,all_aNLe_4,0.017561521426028234
100,all_aNLe_5,0.020067916250691792
101,all_aNLe_6,0.03857634496887367
102,all_aNLe_7,0.08733862178531475
103,all_aNLe_8,-0.0021907936013885795
104,all_aNLe_9,-0.03211488719160634
105,all_aNLe_10,-0.0064899262839958225
106,all_aNLe_11,0.0036807642534543578
107,all_aNLe_12,0.007363144229282439
108,all_aNLe_13,-0.05224693975524465
109,all_aNLe_14,0.014210648959813348
110,all_aNLe_15,-0.03683920123985958
111,all_aNLe_16,0.012996359391550995
112,delta_aDc_1,0.055527289042044924
113,delta_aDc_2,-0.018838704558719395
114,delta_aDc_3,0.048709172494044294
115,delta_aDc_4,0.022447480882770925
116,delta_aDc_5,0.011360159278441707
117,delta_aDc_6,-0.027979072476803358
118,delta_aDc_7,0.0135061222139259
119,delta_aDc_8,0.06317357047954254
120,delta_aDc_9,-0.030552382009699362
121,delta_aDc_10,-0.004340965977022028
122,delta_aDc_11,-0.07300317540770089
123,delta_aDc_12,0.00372373752381051
124,delta_aDc_13,0.0041671709614339
125,delta_aDc_14,0.0005858256104556299
126,delta_aDc_15,-0.03238569305908986
127,delta_aDc_16,-0.042847659685681605
128,delta__aNCp_1,0.0013360276411918167
129,delta__aNCp_2,0.005585170485531276
130,delta__aNCp_3,-0.06658145584417759
131,delta__aNCp_4,-0.030510186181762385
132,delta__aNCp_5,-0.011076249787856639
133,delta__aNCp_6,-0.06721866025176686
134,delta__aNCp_7,0.006391852391121512
135,delta__aNCp_8,-0.005708106336608665
136,delta__aNCp_9,0.017293131345900277
