,Feature,Weight
0,all_aCp,0.0
1,all_aGamma,0.0074545707835555804
2,all_aLambda,0.0
3,all_aLp,0.0
4,all_aSigma,0.0061703325925679285
5,all_aEg,0.0
6,all_aEloc,0.0
7,delta_aCp,0.0
8,delta_aLambda,0.0
9,delta_aLp,0.0
10,delta_aEg,0.0
11,delta_aEloc,0.0
12,theta_aCp,0.0
13,theta_aGamma,0.018940436014692256
14,theta_aLambda,0.0
15,theta_aLp,0.0
16,theta_aSigma,0.0
17,theta_aEg,0.0
18,theta_aEloc,0.008081908878423435
19,alpha1_aCp,0.0
20,alpha1_aGamma,0.0
21,alpha1_aLambda,0.0
22,alpha1_aLp,0.0
23,alpha1_aSigma,0.0
24,alpha1_aEg,0.0
25,alpha1_aEloc,0.0
26,alpha2_aCp,0.0
27,alpha2_aGamma,0.006465993486690401
28,alpha2_aLambda,0.0
29,alpha2_aLp,0.0
30,alpha2_aSigma,0.0
31,alpha2_aEg,0.0
32,alpha2_aEloc,0.005208115206638485
33,beta1_aCp,0.0
34,beta1_aGamma,0.0
35,beta1_aLambda,0.0
36,beta1_aLp,0.0
37,beta1_aSigma,0.007472432707766895
38,beta1_aEg,0.0
39,beta1_aEloc,0.0
40,beta2_aCp,0.0
41,beta2_aLambda,0.0
42,beta2_aLp,0.0
43,beta2_aEg,0.0
44,beta2_aEloc,0.0049707605507870525
45,gamma_aCp,0.0
46,gamma_aEg,0.0
47,gamma_aEloc,0.0
48,all_aDc_1,0.0
49,all_aDc_2,0.0
50,all_aDc_3,0.0
51,all_aDc_4,0.0
52,all_aDc_5,0.0
53,all_aDc_6,0.0
54,all_aDc_7,0.0
55,all_aDc_8,0.002450091049405779
56,all_aDc_9,0.0
57,all_aDc_10,0.0
58,all_aDc_11,0.0
59,all_aDc_12,0.010545671614241614
60,all_aDc_13,0.0
61,all_aDc_14,0.0
62,all_aDc_15,0.0
63,all_aDc_16,0.009656099686146795
64,all__aNCp_1,0.0
65,all__aNCp_2,0.0
66,all__aNCp_3,0.005063692572051938
67,all__aNCp_4,0.0
