Item,Value
Optimal CV Accuracy,0.6190476190476191
Optimal Parameters,"{'lr__multi_class': 'ovr', 'lr__solver': 'newton-cg', 'rfe__n_features_to_select': 10}"
Permutation Test p-Value,0.0594059405940594
Test Accuracy,0.6666666666666666
Test Sensitivity,0.7058823529411765
Test Specificity,0.625
Area Under Curve,0.6875
Run Time,36.65s
