Item,Value
Optimal CV Accuracy,0.6025
Optimal Parameters,"{'lr__multi_class': 'ovr', 'lr__solver': 'newton-cg', 'rfe__n_features_to_select': 234}"
Permutation Test p-Value,0.07920792079207921
Test Accuracy,0.6060606060606061
Test Sensitivity,0.6470588235294118
Test Specificity,0.5625
Area Under Curve,0.75
Run Time,689.07s
