Item,Value
Optimal CV Accuracy,0.6925
Optimal Parameters,"{'lr__multi_class': 'ovr', 'lr__solver': 'newton-cg'}"
Permutation Test p-Value,0.009900990099009901
Test Accuracy,0.7272727272727273
Test Sensitivity,0.6470588235294118
Test Specificity,0.8125
Area Under Curve,0.7757352941176471
Run Time,7.83s
