,Feature,Weight
0,all_aCp,0.0
1,all_aGamma,0.0037611974334514782
2,all_aLambda,0.0064061494083877965
3,all_aLp,0.007245288742585798
4,all_aSigma,0.009464938587954348
5,all_aEg,0.030169723877141782
6,all_aEloc,0.012802696083927988
7,delta_aCp,0.013526367998401324
8,delta_aLambda,0.014364631805618852
9,delta_aLp,0.012409803352899804
10,delta_aEg,0.020600024402384245
11,delta_aEloc,0.02837585175244412
12,theta_aCp,0.008365344444911237
13,theta_aGamma,0.008377651525402261
14,theta_aLambda,0.037166470308223024
15,theta_aLp,0.008239232366804978
16,theta_aSigma,0.00321639016865297
17,theta_aEg,0.0
18,theta_aEloc,0.020807134601889446
19,alpha1_aCp,0.021587776904686856
20,alpha1_aGamma,0.03943200426637486
21,alpha1_aLambda,0.0475004334106123
22,alpha1_aLp,0.014032102857550886
23,alpha1_aSigma,0.0
24,alpha1_aEg,0.017045141394158504
25,alpha1_aEloc,0.013230448872071573
26,alpha2_aCp,0.022167192569986165
27,alpha2_aGamma,0.02450695727873005
28,alpha2_aLambda,0.01890735265268718
29,alpha2_aLp,0.03187410366122016
30,alpha2_aSigma,0.039429261048961245
31,alpha2_aEg,0.11432058385924532
32,alpha2_aEloc,0.027461446384569658
33,beta1_aCp,0.010997122238650433
34,beta1_aGamma,0.04538396902644799
35,beta1_aLambda,0.01813350394373253
36,beta1_aLp,0.006992206023548712
37,beta1_aSigma,0.033679912807059245
38,beta1_aEg,0.005784875355455707
39,beta1_aEloc,0.005103862540002965
40,beta2_aCp,0.0073665096674261485
41,beta2_aLambda,0.028791747173539096
42,beta2_aLp,0.03582425222880658
43,beta2_aEg,0.0001800403256157336
44,beta2_aEloc,0.003782596466971815
45,gamma_aCp,0.03357734768667083
46,gamma_aEg,0.02976886557785726
47,gamma_aEloc,0.05783948691627871
